epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1041,0.7714,0.61455,1.1681,0.97997,0.9869,0.99346,0.88929,0.52482,0.28798,0.93057,0.0702542,0.00330508,0.00330508
2,33.698,0.82401,0.62558,1.19308,0.98065,0.97997,0.9923,0.87672,0.56146,0.31928,0.95151,0.0401228,0.00650698,0.00650698
3,49.7503,0.88199,0.69297,1.23227,0.97024,0.95927,0.98374,0.80914,0.7405,0.40521,1.06153,0.00985936,0.00957687,0.00957687
4,65.9842,0.95147,0.7722,1.27537,0.96792,0.96891,0.98521,0.79511,0.77518,0.45128,1.09838,0.009406,0.009406,0.009406
5,82.1828,0.98578,0.84422,1.29866,0.9324,0.94176,0.96836,0.76335,0.82869,0.50054,1.13303,0.009208,0.009208,0.009208
6,98.4501,0.9959,0.84813,1.30734,0.95091,0.96613,0.98118,0.79982,0.73716,0.47148,1.08507,0.00901,0.00901,0.00901
7,114.687,1.0028,0.86522,1.32119,0.94893,0.9603,0.97609,0.78967,0.77871,0.47305,1.10736,0.008812,0.008812,0.008812
8,130.874,0.98705,0.84073,1.31567,0.96153,0.95425,0.98109,0.78107,0.81418,0.4822,1.12008,0.008614,0.008614,0.008614
9,147.373,0.97585,0.85682,1.30357,0.95795,0.96443,0.98241,0.79243,0.78863,0.45181,1.10218,0.008416,0.008416,0.008416
10,163.723,0.9767,0.83499,1.30082,0.96828,0.95517,0.98629,0.78974,0.7779,0.44724,1.10107,0.008218,0.008218,0.008218
11,179.754,0.97412,0.83155,1.29562,0.93251,0.9611,0.97771,0.79058,0.77363,0.46796,1.09783,0.00802,0.00802,0.00802
12,195.949,0.9697,0.83309,1.29604,0.95497,0.96115,0.97923,0.77788,0.8022,0.45073,1.10332,0.007822,0.007822,0.007822
13,212.197,0.98377,0.81862,1.30123,0.95472,0.959,0.97976,0.79723,0.75751,0.44336,1.06904,0.007624,0.007624,0.007624
14,228.454,0.94642,0.79366,1.2757,0.96741,0.96009,0.97862,0.80818,0.69798,0.43708,1.06564,0.007426,0.007426,0.007426
15,244.785,0.9494,0.78633,1.27884,0.95793,0.96581,0.982,0.80318,0.76893,0.44536,1.09834,0.007228,0.007228,0.007228
16,260.929,0.94331,0.78268,1.27926,0.96717,0.96318,0.97981,0.80406,0.75514,0.42004,1.07323,0.00703,0.00703,0.00703
17,277.345,0.92887,0.76604,1.27181,0.95734,0.96,0.98296,0.81657,0.69259,0.41659,1.05802,0.006832,0.006832,0.006832
18,293.6,0.92524,0.76037,1.26984,0.96976,0.95909,0.98419,0.82123,0.7214,0.39859,1.05175,0.006634,0.006634,0.006634
19,309.613,0.9151,0.75179,1.2525,0.96111,0.96125,0.98497,0.82322,0.71506,0.41163,1.05432,0.006436,0.006436,0.006436
20,325.632,0.9212,0.74679,1.2553,0.96513,0.96661,0.98515,0.83427,0.66987,0.389,1.02364,0.006238,0.006238,0.006238
21,341.696,0.91595,0.76831,1.26124,0.96741,0.96507,0.98422,0.82742,0.69529,0.38906,1.03986,0.00604,0.00604,0.00604
